마산항 ( 경상남도 창원시 성산구 적현로 424 (귀곡동) ),,,,,,,,,,,,
,,,,,,,,,,,,
날짜,PM10,,PM2.5,,오존,,이산화질소,,일산화탄소,,아황산가스,
(년-월-일:시),(㎍/㎥),,(㎍/㎥),,(ppm),,(ppm),,(ppm),,(ppm),
,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간
2024-04-23:01,보통,38,보통,26,좋음,0.0116,좋음,0.0255,좋음,0.34,좋음,0.0025
2024-04-22:24,보통,34,보통,20,좋음,0.0145,좋음,0.0219,좋음,0.32,좋음,0.0019
2024-04-22:23,좋음,27,보통,22,좋음,0.0151,좋음,0.0211,좋음,0.32,좋음,0.0020
2024-04-22:22,보통,37,보통,17,좋음,0.0138,좋음,0.0257,좋음,0.32,좋음,0.0018
2024-04-22:21,보통,31,보통,19,좋음,0.0197,좋음,0.0182,좋음,0.25,좋음,0.0018
2024-04-22:20,좋음,26,보통,21,좋음,0.0231,좋음,0.0169,좋음,0.26,좋음,0.0021
2024-04-22:19,좋음,28,좋음,11,보통,0.0307,좋음,0.0143,좋음,0.23,좋음,0.0022
2024-04-22:18,좋음,27,보통,16,좋음,0.0299,좋음,0.0144,좋음,0.25,좋음,0.0024
2024-04-22:17,좋음,28,보통,17,보통,0.0315,좋음,0.0128,좋음,0.24,좋음,0.0022
2024-04-22:16,보통,34,보통,18,좋음,0.0293,좋음,0.0151,좋음,0.23,좋음,0.0022
2024-04-22:15,보통,49,보통,20,좋음,0.0286,좋음,0.0178,좋음,0.24,좋음,0.0023
2024-04-22:14,보통,43,보통,16,좋음,0.0296,좋음,0.0167,좋음,0.24,좋음,0.0022
2024-04-22:13,보통,42,보통,21,보통,0.0318,좋음,0.0183,좋음,0.24,좋음,0.0022
2024-04-22:12,보통,40,보통,19,보통,0.0323,좋음,0.0184,좋음,0.25,좋음,0.0024
2024-04-22:11,보통,35,좋음,12,보통,0.0336,좋음,0.0167,좋음,0.25,좋음,0.0023
2024-04-22:10,보통,44,좋음,13,좋음,0.0295,좋음,0.0216,좋음,0.26,좋음,0.0021
2024-04-22:09,보통,36,보통,18,좋음,0.0246,좋음,0.0220,좋음,0.27,좋음,0.0019
2024-04-22:08,보통,40,보통,22,좋음,0.0241,좋음,0.0229,좋음,0.26,좋음,0.0019
2024-04-22:07,보통,52,보통,23,좋음,0.0290,좋음,0.0157,좋음,0.27,좋음,0.0016
2024-04-22:06,보통,46,보통,22,보통,0.0325,좋음,0.0129,좋음,0.24,좋음,0.0017
2024-04-22:05,보통,46,보통,23,보통,0.0321,좋음,0.0150,좋음,0.24,좋음,0.0017
2024-04-22:04,보통,43,보통,25,보통,0.0377,좋음,0.0059,좋음,0.25,좋음,0.0017
2024-04-22:03,보통,43,보통,28,보통,0.0383,좋음,0.0062,좋음,0.25,좋음,0.0017
2024-04-22:02,보통,39,보통,28,보통,0.0370,좋음,0.0074,좋음,0.25,좋음,0.0018
2024-04-22:01,보통,42,보통,29,보통,0.0395,좋음,0.0091,좋음,0.25,좋음,0.0021
2024-04-21:24,좋음,26,보통,19,보통,0.0379,좋음,0.0084,좋음,0.23,좋음,0.0021
2024-04-21:23,좋음,18,좋음,14,보통,0.0314,좋음,0.0102,좋음,0.25,좋음,0.0020
2024-04-21:22,좋음,14,좋음,11,보통,0.0348,좋음,0.0101,좋음,0.24,좋음,0.0023
