아주동 ( 경남 거제시 아주동 산164-1 거제시 옥포 유해대기측정소 ),,,,,,,,,,,,
,,,,,,,,,,,,
날짜,PM10,,PM2.5,,오존,,이산화질소,,일산화탄소,,아황산가스,
(년-월-일:시),(㎍/㎥),,(㎍/㎥),,(ppm),,(ppm),,(ppm),,(ppm),
,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간
2024-04-24:12,좋음,9,좋음,2,보통,0.0430,좋음,0.0034,좋음,0.30,좋음,0.0019
2024-04-24:11,좋음,11,좋음,1,보통,0.0359,좋음,0.0038,좋음,0.32,좋음,0.0020
2024-04-24:10,좋음,14,좋음,0,보통,0.0327,좋음,0.0034,좋음,0.31,좋음,0.0020
2024-04-24:09,좋음,15,좋음,0,좋음,0.0278,좋음,0.0065,좋음,0.32,좋음,0.0019
2024-04-24:08,좋음,10,좋음,0,좋음,0.0193,좋음,0.0095,좋음,0.34,좋음,0.0020
2024-04-24:07,좋음,9,좋음,2,좋음,0.0187,좋음,0.0069,좋음,0.36,좋음,0.0019
2024-04-24:06,좋음,10,좋음,3,좋음,0.0218,좋음,0.0042,좋음,0.31,좋음,0.0019
2024-04-24:05,좋음,10,좋음,2,좋음,0.0270,좋음,0.0038,좋음,0.33,좋음,0.0020
2024-04-24:04,좋음,10,좋음,2,좋음,0.0240,좋음,0.0042,좋음,0.32,좋음,0.0020
2024-04-24:03,좋음,6,좋음,3,좋음,0.0222,좋음,0.0040,좋음,0.31,좋음,0.0020
2024-04-24:02,좋음,5,좋음,4,좋음,0.0254,좋음,0.0037,좋음,0.32,좋음,0.0020
2024-04-24:01,좋음,8,좋음,2,좋음,0.0304,좋음,0.0037,좋음,0.30,좋음,0.0020
2024-04-23:24,좋음,12,좋음,3,보통,0.0309,좋음,0.0042,좋음,0.28,좋음,0.0020
2024-04-23:23,좋음,17,좋음,4,보통,0.0317,좋음,0.0060,좋음,0.30,좋음,0.0021
2024-04-23:22,좋음,22,좋음,7,보통,0.0314,좋음,0.0097,좋음,0.32,좋음,0.0022
2024-04-23:21,좋음,29,좋음,11,좋음,0.0297,좋음,0.0133,좋음,0.34,좋음,0.0021
2024-04-23:20,보통,34,보통,20,보통,0.0321,좋음,0.0101,좋음,0.31,좋음,0.0021
2024-04-23:19,보통,34,보통,26,보통,0.0330,좋음,0.0116,좋음,0.33,좋음,0.0022
2024-04-23:18,좋음,30,보통,21,보통,0.0327,좋음,0.0138,좋음,0.32,좋음,0.0026
2024-04-23:17,좋음,29,보통,19,보통,0.0376,좋음,0.0133,좋음,0.33,좋음,0.0028
2024-04-23:16,좋음,28,좋음,12,보통,0.0430,좋음,0.0074,좋음,0.29,좋음,0.0028
2024-04-23:15,좋음,28,좋음,8,보통,0.0462,좋음,0.0066,좋음,0.29,좋음,0.0023
2024-04-23:14,좋음,29,좋음,8,보통,0.0475,좋음,0.0053,좋음,0.28,좋음,0.0020
2024-04-23:13,보통,31,좋음,9,보통,0.0487,좋음,0.0047,좋음,0.27,좋음,0.0020
2024-04-23:12,보통,35,좋음,14,보통,0.0518,좋음,0.0045,좋음,0.27,좋음,0.0021
2024-04-23:11,보통,35,보통,19,보통,0.0492,좋음,0.0082,좋음,0.30,좋음,0.0026
2024-04-23:10,보통,34,보통,23,보통,0.0464,좋음,0.0172,좋음,0.34,좋음,0.0026
2024-04-23:09,좋음,29,보통,16,보통,0.0444,좋음,0.0193,좋음,0.35,좋음,0.0022
2024-04-23:08,좋음,27,좋음,15,보통,0.0516,좋음,0.0104,좋음,0.33,좋음,0.0023
2024-04-23:07,좋음,27,좋음,15,보통,0.0499,좋음,0.0114,좋음,0.34,좋음,0.0024
2024-04-23:06,좋음,28,좋음,14,보통,0.0524,좋음,0.0084,좋음,0.32,좋음,0.0024
2024-04-23:05,좋음,29,좋음,14,보통,0.0535,좋음,0.0065,좋음,0.32,좋음,0.0023
2024-04-23:04,보통,32,좋음,15,보통,0.0555,좋음,0.0058,좋음,0.32,좋음,0.0023
2024-04-23:03,좋음,30,좋음,14,보통,0.0497,좋음,0.0089,좋음,0.33,좋음,0.0024
2024-04-23:02,좋음,28,좋음,13,보통,0.0541,좋음,0.0050,좋음,0.32,좋음,0.0022
2024-04-23:01,좋음,28,좋음,12,보통,0.0462,좋음,0.0071,좋음,0.33,좋음,0.0022
2024-04-22:24,좋음,27,좋음,10,보통,0.0400,좋음,0.0108,좋음,0.33,좋음,0.0024
2024-04-22:23,좋음,27,좋음,11,보통,0.0407,좋음,0.0114,좋음,0.34,좋음,0.0025
2024-04-22:22,좋음,27,좋음,11,보통,0.0416,좋음,0.0112,좋음,0.33,좋음,0.0023
2024-04-22:21,좋음,29,좋음,10,보통,0.0431,좋음,0.0095,좋음,0.32,좋음,0.0024
2024-04-22:20,보통,33,좋음,13,보통,0.0426,좋음,0.0100,좋음,0.32,좋음,0.0025
2024-04-22:19,보통,33,좋음,13,보통,0.0408,좋음,0.0123,좋음,0.32,좋음,0.0024
2024-04-22:18,보통,34,좋음,11,보통,0.0320,좋음,0.0199,좋음,0.32,좋음,0.0022
2024-04-22:17,좋음,28,좋음,12,좋음,0.0265,좋음,0.0234,좋음,0.33,좋음,0.0021
2024-04-22:16,좋음,26,좋음,14,보통,0.0319,좋음,0.0166,좋음,0.31,좋음,0.0023
2024-04-22:15,좋음,26,좋음,12,좋음,0.0300,좋음,0.0194,좋음,0.33,좋음,0.0023
2024-04-22:14,좋음,26,좋음,12,보통,0.0354,좋음,0.0146,좋음,0.31,좋음,0.0020
2024-04-22:13,좋음,25,좋음,13,보통,0.0383,좋음,0.0125,좋음,0.34,좋음,0.0020
2024-04-22:12,좋음,23,좋음,11,보통,0.0348,좋음,0.0177,좋음,0.37,좋음,0.0021
2024-04-22:11,좋음,25,좋음,9,보통,0.0346,좋음,0.0179,좋음,0.36,좋음,0.0021
2024-04-22:10,좋음,27,좋음,8,보통,0.0351,좋음,0.0181,좋음,0.38,좋음,0.0020
2024-04-22:09,좋음,28,좋음,14,보통,0.0309,좋음,0.0206,좋음,0.38,좋음,0.0020
2024-04-22:08,좋음,29,보통,16,좋음,0.0272,좋음,0.0144,좋음,0.40,좋음,0.0019
2024-04-22:07,좋음,29,좋음,15,좋음,0.0244,좋음,0.0095,좋음,0.35,좋음,0.0019
2024-04-22:06,좋음,29,보통,16,좋음,0.0277,좋음,0.0057,좋음,0.35,좋음,0.0020
2024-04-22:05,좋음,28,좋음,14,보통,0.0354,좋음,0.0041,좋음,0.35,좋음,0.0020
2024-04-22:04,좋음,28,좋음,15,보통,0.0366,좋음,0.0045,좋음,0.32,좋음,0.0019
2024-04-22:03,좋음,26,좋음,14,보통,0.0370,좋음,0.0041,좋음,0.32,좋음,0.0019
2024-04-22:02,좋음,23,좋음,13,보통,0.0407,좋음,0.0046,좋음,0.32,좋음,0.0019
2024-04-22:01,좋음,19,좋음,7,보통,0.0438,좋음,0.0056,좋음,0.32,좋음,0.0020
2024-04-21:24,좋음,14,좋음,1,보통,0.0442,좋음,0.0050,좋음,0.32,좋음,0.0019
2024-04-21:23,좋음,11,좋음,1,보통,0.0407,좋음,0.0070,좋음,0.33,좋음,0.0020
2024-04-21:22,좋음,9,좋음,3,보통,0.0389,좋음,0.0066,좋음,0.34,좋음,0.0019
2024-04-21:21,좋음,8,좋음,6,보통,0.0386,좋음,0.0067,좋음,0.33,좋음,0.0019
2024-04-21:20,좋음,11,,,보통,0.0421,좋음,0.0072,좋음,0.33,좋음,0.0019
2024-04-21:19,좋음,11,,,보통,0.0399,좋음,0.0102,좋음,0.34,좋음,0.0020
2024-04-21:18,좋음,9,좋음,8,보통,0.0433,좋음,0.0094,좋음,0.34,좋음,0.0020
2024-04-21:17,좋음,8,좋음,4,보통,0.0450,좋음,0.0090,좋음,0.35,좋음,0.0020
2024-04-21:16,좋음,7,좋음,4,보통,0.0428,좋음,0.0091,좋음,0.32,좋음,0.0019
2024-04-21:15,좋음,6,좋음,4,보통,0.0380,좋음,0.0127,좋음,0.33,좋음,0.0019
2024-04-21:14,좋음,6,좋음,2,보통,0.0408,좋음,0.0087,좋음,0.30,좋음,0.0019
2024-04-21:13,좋음,6,좋음,0,보통,0.0421,좋음,0.0096,좋음,0.29,좋음,0.0018
2024-04-21:12,좋음,7,,,보통,0.0436,좋음,0.0088,좋음,0.28,좋음,0.0018
2024-04-21:11,좋음,9,,,보통,0.0440,좋음,0.0080,좋음,0.29,좋음,0.0018
2024-04-21:10,좋음,8,,,보통,0.0422,좋음,0.0087,좋음,0.29,좋음,0.0019
2024-04-21:09,좋음,8,좋음,1,보통,0.0398,좋음,0.0100,좋음,0.30,좋음,0.0020
2024-04-21:08,좋음,8,좋음,3,보통,0.0356,좋음,0.0093,좋음,0.31,좋음,0.0020
2024-04-21:07,좋음,7,좋음,2,보통,0.0368,좋음,0.0071,좋음,0.28,좋음,0.0020
2024-04-21:06,좋음,6,좋음,3,보통,0.0396,좋음,0.0055,좋음,0.27,좋음,0.0019
2024-04-21:05,좋음,6,좋음,0,보통,0.0391,좋음,0.0057,좋음,0.28,좋음,0.0020
2024-04-21:04,좋음,6,,,보통,0.0407,좋음,0.0048,좋음,0.28,좋음,0.0019
2024-04-21:03,좋음,7,,,보통,0.0409,좋음,0.0068,좋음,0.28,좋음,0.0021
2024-04-21:02,좋음,7,,,보통,0.0438,좋음,0.0065,좋음,0.27,좋음,0.0021
2024-04-21:01,좋음,7,좋음,2,보통,0.0445,좋음,0.0054,좋음,0.28,좋음,0.0021
2024-04-20:24,좋음,9,좋음,5,보통,0.0458,좋음,0.0053,좋음,0.28,좋음,0.0020
2024-04-20:23,좋음,9,좋음,9,보통,0.0463,좋음,0.0068,좋음,0.28,좋음,0.0021
2024-04-20:22,좋음,10,좋음,9,보통,0.0450,좋음,0.0086,좋음,0.27,좋음,0.0022
2024-04-20:21,좋음,8,좋음,6,보통,0.0457,좋음,0.0089,좋음,0.27,좋음,0.0022
2024-04-20:20,좋음,10,좋음,4,보통,0.0479,좋음,0.0085,좋음,0.27,좋음,0.0020
