瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%)
192,柳林,2024-02-20 12:00,9.6,2.4,.7,90,95
192,柳林,2024-02-20 13:00,9.2,,1.5,20,94
192,柳林,2024-02-20 14:00,9,,1.6,20,92
192,柳林,2024-02-20 15:00,8.5,.3,1.4,20,90
192,柳林,2024-02-20 16:00,8,,1.4,20,91
192,柳林,2024-02-20 17:00,7.8,,1.8,20,91
192,柳林,2024-02-20 18:00,7.1,.5,1.5,360,93
192,柳林,2024-02-20 19:00,6.8,,1.5,20,94
192,柳林,2024-02-20 20:00,6.4,,1.5,360,94
192,柳林,2024-02-20 21:00,6.4,4.6,1.5,340,93
192,柳林,2024-02-20 22:00,6,,1.3,360,93
192,柳林,2024-02-20 23:00,6,,1.1,360,93
192,柳林,2024-02-21 00:00,6,3.8,.4,0,93
192,柳林,2024-02-21 01:00,5.9,,1.2,360,93
192,柳林,2024-02-21 02:00,5.8,,1.2,340,94
192,柳林,2024-02-21 03:00,5.6,.3,1,360,95
192,柳林,2024-02-21 04:00,5.6,,1.2,360,95
192,柳林,2024-02-21 05:00,5.8,,.8,360,95
192,柳林,2024-02-21 06:00,5.6,1.7,1.1,360,95
192,柳林,2024-02-21 07:00,5.8,,1.3,20,94
192,柳林,2024-02-21 08:00,5.8,,1.2,20,94
192,柳林,2024-02-21 09:00,5.6,5.1,.8,360,94
192,柳林,2024-02-21 10:00,6,,1.9,360,94
192,柳林,2024-02-21 11:00,6.4,,1.3,360,90
192,柳林,2024-02-21 12:00,6.4,1.3,2.4,360,86
192,柳林,2024-02-21 13:00,6,,1.7,20,92
192,柳林,2024-02-21 14:00,6,,2.2,360,93
192,柳林,2024-02-21 15:00,6,.7,2.1,360,93
192,柳林,2024-02-21 16:00,5.8,,1.6,360,94
192,柳林,2024-02-21 17:00,5.6,,1.1,360,94
192,柳林,2024-02-21 18:00,5.5,2.2,1.6,360,95
192,柳林,2024-02-21 19:00,5.3,,1.5,360,94
192,柳林,2024-02-21 20:00,5,,1.9,360,94
192,柳林,2024-02-21 21:00,4.8,3.7,1.7,360,93
192,柳林,2024-02-21 22:00,4.5,,.9,360,93
192,柳林,2024-02-21 23:00,4.5,,1.3,360,94
192,柳林,2024-02-22 00:00,4.4,3.2,1.6,360,93
192,柳林,2024-02-22 01:00,4.3,,1.4,360,93
192,柳林,2024-02-22 02:00,4,,1.4,360,94
192,柳林,2024-02-22 03:00,3.9,2,2,360,93
192,柳林,2024-02-22 04:00,3.7,,1.8,360,93
192,柳林,2024-02-22 05:00,3.4,,1.8,360,93
192,柳林,2024-02-22 06:00,3.2,.7,1.8,360,93
192,柳林,2024-02-22 07:00,3,,1.6,360,93
192,柳林,2024-02-22 08:00,3,,1.7,360,93
192,柳林,2024-02-22 09:00,3,.3,2.3,360,92
192,柳林,2024-02-22 10:00,3.2,,2.3,20,89
192,柳林,2024-02-22 11:00,3.7,,2.3,360,86
192,柳林,2024-02-22 12:00,3.5,,2.7,360,86
192,柳林,2024-02-22 13:00,3.7,,2.6,360,82
192,柳林,2024-02-22 14:00,4,,2.8,360,81
192,柳林,2024-02-22 15:00,4.2,,2.3,360,79
192,柳林,2024-02-22 16:00,4.3,,2,360,79
192,柳林,2024-02-22 17:00,4.1,,1.3,360,79
192,柳林,2024-02-22 18:00,3.5,0,1.6,360,84
192,柳林,2024-02-22 19:00,3.4,,2.1,360,83
192,柳林,2024-02-22 20:00,3.2,,2.4,20,83
192,柳林,2024-02-22 21:00,2.9,,2.2,360,83
192,柳林,2024-02-22 22:00,2.7,,1.7,360,84
192,柳林,2024-02-22 23:00,2.2,,1.5,360,87
192,柳林,2024-02-23 00:00,2.2,0,1.9,360,84
192,柳林,2024-02-23 01:00,2.4,,1.8,360,83
192,柳林,2024-02-23 02:00,2.4,,1.7,360,81
192,柳林,2024-02-23 03:00,2.4,,2.1,360,80
192,柳林,2024-02-23 04:00,2.2,,1.7,360,80
192,柳林,2024-02-23 05:00,2.2,,1.1,360,81
192,柳林,2024-02-23 06:00,2.4,,1.1,360,81
192,柳林,2024-02-23 07:00,2,,1.7,360,84
192,柳林,2024-02-23 08:00,1.7,,1.6,360,85
192,柳林,2024-02-23 09:00,2,,1.1,360,86
192,柳林,2024-02-23 10:00,2.7,,2.6,360,82
192,柳林,2024-02-23 11:00,3.2,,2,360,81
192,柳林,2024-02-23 12:00,4,,1.9,360,75
192,柳林,2024-02-23 13:00,4.6,,1.6,360,71
192,柳林,2024-02-23 14:00,5.1,,1.6,20,70
192,柳林,2024-02-23 15:00,5.4,,2.1,360,69
192,柳林,2024-02-23 16:00,5.8,,1.8,360,66
192,柳林,2024-02-23 17:00,5.6,,1.8,20,67
192,柳林,2024-02-23 18:00,5,,1.4,50,68
192,柳林,2024-02-23 19:00,4.4,,1.7,20,68
192,柳林,2024-02-23 20:00,4,,1.4,50,66
192,柳林,2024-02-23 21:00,3.7,,1.4,20,66
192,柳林,2024-02-23 22:00,3.5,,.6,340,67
192,柳林,2024-02-23 23:00,3.2,,.9,20,69
192,柳林,2024-02-24 00:00,3.2,,1.3,360,67
192,柳林,2024-02-24 01:00,3,,1,320,66
192,柳林,2024-02-24 02:00,3,,1.2,20,66
192,柳林,2024-02-24 03:00,2.7,,1.4,50,65
192,柳林,2024-02-24 04:00,2.4,,1.5,20,65
192,柳林,2024-02-24 05:00,2.2,,.5,50,68
192,柳林,2024-02-24 06:00,2,,1.3,360,67
192,柳林,2024-02-24 07:00,2.2,,.8,20,67
192,柳林,2024-02-24 08:00,2.5,,1.2,360,65
192,柳林,2024-02-24 09:00,3.2,,1.6,360,61
192,柳林,2024-02-24 10:00,5,,2,50,57
192,柳林,2024-02-24 11:00,5.9,,1.5,20,55
192,柳林,2024-02-24 12:00,7.1,,2.9,70,51
192,柳林,2024-02-24 13:00,7.5,,2.3,20,53
192,柳林,2024-02-24 14:00,8.1,,2.2,50,51
192,柳林,2024-02-24 15:00,7.6,,2.6,70,52
192,柳林,2024-02-24 16:00,7,,2.4,70,54
192,柳林,2024-02-24 17:00,6.7,,2,70,55
192,柳林,2024-02-24 18:00,6.5,,1,50,56
192,柳林,2024-02-24 19:00,5.5,,.7,50,63
192,柳林,2024-02-24 20:00,4.5,,1.3,20,73
192,柳林,2024-02-24 21:00,2.7,.4,1.7,360,88
192,柳林,2024-02-24 22:00,2.2,,1.1,340,92
192,柳林,2024-02-24 23:00,1.3,,1.3,360,92
192,柳林,2024-02-25 00:00,.3,3.9,.2,0,94
192,柳林,2024-02-25 01:00,.8,,.2,0,95
192,柳林,2024-02-25 02:00,.8,,.1,0,96
192,柳林,2024-02-25 03:00,1,1.9,0,0,96
192,柳林,2024-02-25 04:00,1.2,,0,0,96
192,柳林,2024-02-25 05:00,1.5,,0,0,96
192,柳林,2024-02-25 06:00,1.6,0,0,0,96
192,柳林,2024-02-25 07:00,1.8,,.1,0,96
192,柳林,2024-02-25 08:00,2.2,,.3,0,95
192,柳林,2024-02-25 09:00,2.8,.1,.4,0,94
192,柳林,2024-02-25 10:00,4.2,,.4,0,91
192,柳林,2024-02-25 11:00,5.4,,.9,20,88
192,柳林,2024-02-25 12:00,6.2,.1,1.3,50,81
192,柳林,2024-02-25 13:00,6.5,,1.9,20,79
192,柳林,2024-02-25 14:00,7.1,,1.8,70,73
192,柳林,2024-02-25 15:00,8.1,,1.3,50,70
192,柳林,2024-02-25 16:00,7.9,,1.7,70,72
192,柳林,2024-02-25 17:00,8.3,,1.5,90,69
192,柳林,2024-02-25 18:00,7.9,,.8,20,71
192,柳林,2024-02-25 19:00,7.1,,.6,20,76
192,柳林,2024-02-25 20:00,6.9,,1.2,20,77
192,柳林,2024-02-25 21:00,6.1,,1,20,75
192,柳林,2024-02-25 22:00,5.7,,1.2,20,75
192,柳林,2024-02-25 23:00,3.4,,.6,70,84
192,柳林,2024-02-26 00:00,1.7,,0,0,90
192,柳林,2024-02-26 01:00,.8,,0,0,92
192,柳林,2024-02-26 02:00,0,,.1,0,94
192,柳林,2024-02-26 03:00,-.5,,.3,0,94
192,柳林,2024-02-26 04:00,-1.4,,0,0,94
192,柳林,2024-02-26 05:00,-1.4,,.1,0,95
192,柳林,2024-02-26 06:00,-1.9,,.3,0,95
192,柳林,2024-02-26 07:00,-2.3,,.1,0,95
192,柳林,2024-02-26 08:00,-.6,,.4,0,95
192,柳林,2024-02-26 09:00,3.5,,.1,0,81
192,柳林,2024-02-26 10:00,6.8,,2.1,20,62
192,柳林,2024-02-26 11:00,7.9,,2.1,360,56
192,柳林,2024-02-26 12:00,9.4,,1.6,360,52
192,柳林,2024-02-26 13:00,10.2,,2.1,20,47
192,柳林,2024-02-26 14:00,9.9,,1.7,70,47
192,柳林,2024-02-26 15:00,10.7,,1.1,70,46
192,柳林,2024-02-26 16:00,11.7,,1.2,50,39
192,柳林,2024-02-26 17:00,9.8,,1,70,47
192,柳林,2024-02-26 18:00,8.7,,.5,50,49
192,柳林,2024-02-26 19:00,8,,.9,360,53
192,柳林,2024-02-26 20:00,6.7,,.2,0,61
192,柳林,2024-02-26 21:00,7.1,,1,50,58
192,柳林,2024-02-26 22:00,6.3,,1.2,20,59
192,柳林,2024-02-26 23:00,5.8,,1.2,20,61
192,柳林,2024-02-27 00:00,5,,.9,20,64
192,柳林,2024-02-27 01:00,2.5,,.1,0,74
192,柳林,2024-02-27 02:00,1.4,,0,0,84
192,柳林,2024-02-27 03:00,0,,0,0,87
192,柳林,2024-02-27 04:00,-.6,,0,0,89
192,柳林,2024-02-27 05:00,-1.3,,0,0,91
192,柳林,2024-02-27 06:00,-1.4,,.1,0,91
192,柳林,2024-02-27 07:00,-1.3,,.2,0,91
192,柳林,2024-02-27 08:00,0,,0,0,88
192,柳林,2024-02-27 09:00,2.9,,0,0,78
192,柳林,2024-02-27 10:00,6,,1.1,50,58
192,柳林,2024-02-27 11:00,7.4,,2.6,50,48
192,柳林,2024-02-27 12:00,8.5,,2.4,70,42
192,柳林,2024-02-27 13:00,9.2,,2.1,70,40
192,柳林,2024-02-27 14:00,9,,2.4,70,42
192,柳林,2024-02-27 15:00,8.3,,2.6,50,43
192,柳林,2024-02-27 16:00,9.1,,1.8,70,45
192,柳林,2024-02-27 17:00,8,,1.8,90,44
192,柳林,2024-02-27 18:00,6.9,,.8,90,48
192,柳林,2024-02-27 19:00,5.6,,.6,20,53
192,柳林,2024-02-27 20:00,3.6,,.9,20,65
192,柳林,2024-02-27 21:00,2.3,,.5,20,70
192,柳林,2024-02-27 22:00,2.1,,.4,0,70
192,柳林,2024-02-27 23:00,.5,,.3,0,74
192,柳林,2024-02-28 00:00,-.5,,0,0,79
192,柳林,2024-02-28 01:00,-1.3,,.2,0,83
192,柳林,2024-02-28 02:00,-1.8,,0,0,86
192,柳林,2024-02-28 03:00,-2,,.2,0,86
192,柳林,2024-02-28 04:00,-2.5,,0,0,89
192,柳林,2024-02-28 05:00,-3.1,,0,0,90
192,柳林,2024-02-28 06:00,-3.1,,0,0,91
192,柳林,2024-02-28 07:00,-3.5,,0,0,91
192,柳林,2024-02-28 08:00,-1.8,,0,0,90
192,柳林,2024-02-28 09:00,2,,0,0,74
192,柳林,2024-02-28 10:00,4.5,,1.2,230,64
192,柳林,2024-02-28 11:00,8.1,,1.1,110,53
192,柳林,2024-02-28 12:00,9.9,,1.3,90,49
192,柳林,2024-02-28 13:00,10.9,,1.6,50,43
192,柳林,2024-02-28 14:00,12.3,,2.2,70,41
192,柳林,2024-02-28 15:00,11.8,,2.5,70,41
192,柳林,2024-02-28 16:00,12.4,,3,110,40
192,柳林,2024-02-28 17:00,12.3,,2.5,110,38
192,柳林,2024-02-28 18:00,10.7,,1.5,90,41
192,柳林,2024-02-28 19:00,7.8,,.2,0,53
192,柳林,2024-02-28 20:00,6.7,,.8,140,66
192,柳林,2024-02-28 21:00,4.9,,0,0,72
192,柳林,2024-02-28 22:00,6.1,,.8,320,78
192,柳林,2024-02-28 23:00,5.1,,.4,0,74
192,柳林,2024-02-29 00:00,4.8,,.1,0,78
192,柳林,2024-02-29 01:00,4.9,,.1,0,81
192,柳林,2024-02-29 02:00,3.8,,0,0,83
192,柳林,2024-02-29 03:00,3.2,,.4,0,85
192,柳林,2024-02-29 04:00,3.2,,0,0,86
192,柳林,2024-02-29 05:00,3.6,,0,0,85
192,柳林,2024-02-29 06:00,3.7,,0,0,85
192,柳林,2024-02-29 07:00,3.9,,0,0,84
192,柳林,2024-02-29 08:00,4.9,,.5,20,82
192,柳林,2024-02-29 09:00,5.9,0,0,0,76
192,柳林,2024-02-29 10:00,6.3,,.5,50,74
192,柳林,2024-02-29 11:00,6.3,,.7,50,79
192,柳林,2024-02-29 12:00,5.6,1.4,1.2,20,85
192,柳林,2024-02-29 13:00,5.1,,1.7,360,89
192,柳林,2024-02-29 14:00,5,,2.6,360,88
192,柳林,2024-02-29 15:00,4.9,2.6,1.1,20,90
192,柳林,2024-02-29 16:00,4.6,,1.2,20,89
192,柳林,2024-02-29 17:00,4.5,,2.1,20,88
192,柳林,2024-02-29 18:00,4.6,1.2,1.1,360,88
192,柳林,2024-02-29 19:00,4.4,,1,360,88
192,柳林,2024-02-29 20:00,4.1,,0,0,91
192,柳林,2024-02-29 21:00,4,,.4,0,90
192,柳林,2024-02-29 22:00,3,,.4,0,93
192,柳林,2024-02-29 23:00,2,,0,0,95
192,柳林,2024-03-01 00:00,1.2,,.1,0,96
192,柳林,2024-03-01 01:00,1,,.4,0,96
