tm,pm10,pm25,o3,no2,co,so2,,,,,,
2024-02-25:22,좋음,8,좋음,5,좋음,0.0283,좋음,0.0164,좋음,0.36,좋음,0.0024
2024-02-25:21,좋음,7,좋음,7,좋음,0.0292,좋음,0.0161,좋음,0.35,좋음,0.0023
2024-02-25:20,좋음,8,좋음,6,좋음,0.0272,좋음,0.0185,좋음,0.40,좋음,0.0023
2024-02-25:19,좋음,10,좋음,7,좋음,0.0296,좋음,0.0163,좋음,0.35,좋음,0.0023
2024-02-25:18,좋음,6,좋음,5,보통,0.0333,좋음,0.0141,좋음,0.34,좋음,0.0025
2024-02-25:17,좋음,11,좋음,9,보통,0.0312,좋음,0.0133,좋음,0.33,좋음,0.0023
2024-02-25:16,좋음,8,좋음,6,보통,0.0323,좋음,0.0123,좋음,0.30,좋음,0.0023
2024-02-25:15,좋음,8,좋음,7,보통,0.0322,좋음,0.0109,좋음,0.30,좋음,0.0025
2024-02-25:14,좋음,10,좋음,10,좋음,0.0296,좋음,0.0111,좋음,0.33,좋음,0.0019
2024-02-25:13,좋음,7,,,보통,0.0318,좋음,0.0097,좋음,0.31,좋음,0.0020
2024-02-25:12,좋음,5,좋음,4,보통,0.0322,좋음,0.0086,좋음,0.30,좋음,0.0021
2024-02-25:11,좋음,6,좋음,5,좋음,0.0288,좋음,0.0095,좋음,0.31,좋음,0.0020
2024-02-25:10,좋음,7,좋음,6,좋음,0.0253,좋음,0.0117,좋음,0.33,좋음,0.0021
2024-02-25:09,좋음,4,,,좋음,0.0250,좋음,0.0119,좋음,0.32,좋음,0.0022
2024-02-25:08,좋음,5,,,좋음,0.0237,좋음,0.0123,좋음,0.32,좋음,0.0021
2024-02-25:07,좋음,5,좋음,4,좋음,0.0253,좋음,0.0109,좋음,0.34,좋음,0.0020
2024-02-25:06,좋음,4,좋음,3,좋음,0.0263,좋음,0.0095,좋음,0.32,좋음,0.0020
2024-02-25:05,좋음,3,,,좋음,0.0269,좋음,0.0091,좋음,0.31,좋음,0.0021
2024-02-25:04,좋음,3,좋음,3,좋음,0.0276,좋음,0.0089,좋음,0.30,좋음,0.0022
2024-02-25:03,좋음,4,,,좋음,0.0274,좋음,0.0097,좋음,0.32,좋음,0.0020
2024-02-25:02,좋음,10,좋음,8,좋음,0.0287,좋음,0.0107,좋음,0.34,좋음,0.0022
